Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent,GHz
303260,fill1,14,0.01,44.2,2,0.01,0.00,3.29
303260,fill1,15,0.01,56.4,2,0.01,0.00,3.30
303260,fill1,16,0.01,59.1,2,0.01,0.00,3.30
303260,alt01,0,0.00,61.1,2,0.00,0.00,3.30
303260,alt01,1,0.01,55.0,2,0.01,0.00,3.29
303260,alt01,2,0.01,59.2,2,0.01,0.00,3.29
303260,alt01,3,0.01,60.5,2,0.01,0.00,3.30
303260,alt01,4,0.01,56.0,2,0.01,0.00,3.29
303260,alt01,5,0.01,57.5,2,0.01,0.00,3.29
303260,alt01,6,0.01,59.8,2,0.01,0.00,3.29
303260,alt01,7,0.01,55.7,2,0.01,0.00,3.29
303260,alt01,8,0.01,60.4,2,0.01,0.00,3.29
303260,alt01,9,0.01,59.4,2,0.01,0.00,3.30
303260,alt01,10,0.01,59.2,2,0.01,0.00,3.29
303260,alt01,11,0.00,62.3,2,0.01,0.00,3.26
303260,alt01,12,0.00,65.2,2,0.00,0.00,3.33
303260,alt01,13,0.00,66.4,2,0.00,0.00,3.29
303260,alt01,14,0.00,62.1,2,0.00,0.00,3.29
303260,alt01,15,0.00,62.8,2,0.01,0.00,3.30
303260,alt01,16,0.00,66.6,2,0.00,0.00,3.29
333584,fill0,0,0.01,59.4,2,0.01,0.00,3.28
333584,fill0,1,0.01,50.5,2,0.02,0.00,3.30
333584,fill0,2,0.01,50.2,2,0.02,0.00,3.29
333584,fill0,3,0.01,42.2,2,0.04,0.01,3.29
333584,fill0,4,0.01,55.1,2,0.02,0.00,3.29
333584,fill0,5,0.01,59.7,2,0.01,0.00,3.29
333584,fill0,6,0.01,63.6,2,0.01,0.00,3.30
333584,fill0,7,0.01,54.1,2,0.01,0.00,3.29
333584,fill0,8,0.01,62.6,2,0.01,0.00,3.29
333584,fill0,9,0.01,60.1,2,0.01,0.00,3.30
333584,fill0,10,0.00,73.1,2,0.00,0.00,3.29
333584,fill0,11,0.00,71.4,2,0.00,0.00,3.29
333584,fill0,12,0.00,67.8,2,0.00,0.00,3.30
333584,fill0,13,0.01,65.1,2,0.01,0.00,3.29
333584,fill0,14,0.00,68.8,2,0.00,0.00,3.29
333584,fill0,15,0.00,68.4,2,0.00,0.00,3.29
333584,fill0,16,0.01,64.4,2,0.01,0.00,3.30
333584,fill1,0,0.01,63.8,2,0.00,0.00,3.29
333584,fill1,1,0.01,62.9,2,0.00,0.00,3.29
333584,fill1,2,0.01,64.4,2,0.00,0.00,3.30
333584,fill1,3,0.01,61.7,2,0.00,0.00,3.29
333584,fill1,4,0.01,65.8,2,0.00,0.00,3.29
333584,fill1,5,0.01,64.3,2,0.00,0.00,3.30
333584,fill1,6,0.01,64.6,2,0.00,0.00,3.29
333584,fill1,7,0.01,64.4,2,0.00,0.00,3.29
333584,fill1,8,0.01,64.7,2,0.00,0.00,3.30
333584,fill1,9,0.01,63.8,2,0.00,0.00,3.29
333584,fill1,10,0.02,14.2,2,0.18,0.10,2.64
333584,fill1,11,0.01,61.2,2,0.00,0.00,3.29
333584,fill1,12,0.01,55.0,2,0.00,0.00,3.29
333584,fill1,13,0.01,26.1,2,0.00,0.00,1.58
333584,fill1,14,0.01,64.8,2,0.00,0.00,3.45
333584,fill1,15,0.01,66.4,2,0.00,0.00,3.54
333584,fill1,16,0.00,66.8,2,0.00,0.00,3.49
333584,alt01,0,0.00,69.4,2,0.00,0.00,3.49
333584,alt01,1,0.01,60.7,2,0.01,0.00,3.49
333584,alt01,2,0.01,66.6,2,0.00,0.00,3.49
333584,alt01,3,0.00,67.1,2,0.00,0.00,3.50
333584,alt01,4,0.00,70.1,2,0.00,0.00,3.49
333584,alt01,5,0.00,70.0,2,0.00,0.00,3.49
333584,alt01,6,0.00,69.8,2,0.00,0.00,3.50
333584,alt01,7,0.00,70.2,2,0.00,0.00,3.49
333584,alt01,8,0.00,68.6,2,0.00,0.00,3.49
333584,alt01,9,0.01,65.2,2,0.00,0.00,3.50
333584,alt01,10,0.00,68.7,2,0.00,0.00,3.49
333584,alt01,11,0.00,68.9,2,0.00,0.00,3.49
333584,alt01,12,0.01,66.5,2,0.00,0.00,3.50
333584,alt01,13,0.00,69.2,2,0.00,0.00,3.50
333584,alt01,14,0.00,68.8,2,0.00,0.00,3.49
333584,alt01,15,0.00,69.0,2,0.00,0.00,3.49
333584,alt01,16,0.00,69.8,2,0.00,0.00,3.50
366944,fill0,0,0.01,69.5,2,0.04,0.00,3.50
366944,fill0,1,0.01,71.3,2,0.05,0.00,3.49
366944,fill0,2,0.01,69.3,2,0.05,0.00,3.49
366944,fill0,3,0.01,71.2,2,0.05,0.00,3.50
366944,fill0,4,0.01,71.3,2,0.05,0.00,3.49
366944,fill0,5,0.01,61.7,2,0.06,0.01,3.49
366944,fill0,6,0.01,69.3,2,0.05,0.00,3.50
366944,fill0,7,0.01,71.6,2,0.05,0.00,3.49
366944,fill0,8,0.01,69.0,2,0.05,0.00,3.49
366944,fill0,9,0.01,67.1,2,0.05,0.00,3.50
366944,fill0,10,0.01,71.5,2,0.05,0.00,3.49
366944,fill0,11,0.01,72.5,2,0.04,0.00,3.49
366944,fill0,12,0.01,70.1,2,0.05,0.00,3.50
366944,fill0,13,0.01,71.7,2,0.05,0.00,3.49
366944,fill0,14,0.01,69.5,2,0.05,0.00,3.49
366944,fill0,15,0.01,71.2,2,0.05,0.00,3.50
366944,fill0,16,0.01,72.8,2,0.05,0.00,3.49
366944,fill1,0,0.01,61.7,2,0.01,0.05,3.49
366944,fill1,1,0.01,62.7,2,0.01,0.05,3.50
366944,fill1,2,0.01,65.4,2,0.01,0.05,3.49
366944,fill1,3,0.01,64.3,2,0.00,0.05,3.49
366944,fill1,4,0.01,61.3,2,0.01,0.05,3.50
366944,fill1,5,0.01,65.0,2,0.00,0.05,3.49
366944,fill1,6,0.01,66.7,2,0.00,0.05,3.49
366944,fill1,7,0.01,66.2,2,0.00,0.05,3.49
366944,fill1,8,0.01,63.1,2,0.00,0.05,3.49
366944,fill1,9,0.01,63.4,2,0.00,0.05,3.50
366944,fill1,10,0.01,64.3,2,0.01,0.05,3.49
366944,fill1,11,0.01,64.2,2,0.00,0.05,3.49
366944,fill1,12,0.01,62.6,2,0.01,0.05,3.50
366944,fill1,13,0.01,65.4,2,0.00,0.05,3.49
366944,fill1,14,0.01,65.7,2,0.00,0.05,3.49
366944,fill1,15,0.01,64.4,2,0.00,0.05,3.50
366944,fill1,16,0.01,66.3,2,0.00,0.05,3.49
366944,alt01,0,0.01,67.9,2,0.03,0.02,3.49
366944,alt01,1,0.01,66.2,2,0.03,0.02,3.49
366944,alt01,2,0.01,67.4,2,0.03,0.02,3.46
366944,alt01,3,0.01,69.1,2,0.02,0.02,3.53
366944,alt01,4,0.01,70.0,2,0.02,0.02,3.49
366944,alt01,5,0.01,70.2,2,0.02,0.02,3.50
366944,alt01,6,0.01,68.4,2,0.02,0.02,3.49
366944,alt01,7,0.01,70.1,2,0.02,0.03,3.49
366944,alt01,8,0.01,66.7,2,0.02,0.03,3.50
366944,alt01,9,0.01,66.1,2,0.03,0.03,3.49
366944,alt01,10,0.01,66.7,2,0.03,0.02,3.49
366944,alt01,11,0.01,66.2,2,0.02,0.02,3.50
366944,alt01,12,0.01,69.3,2,0.02,0.02,3.49
366944,alt01,13,0.01,69.9,2,0.03,0.02,3.49
366944,alt01,14,0.01,66.0,2,0.02,0.03,3.50
366944,alt01,15,0.01,66.3,2,0.03,0.02,3.49
366944,alt01,16,0.01,68.6,2,0.02,0.02,3.49
403636,fill0,0,0.01,69.0,2,0.12,0.01,3.50
403636,fill0,1,0.01,72.2,2,0.12,0.01,3.49
403636,fill0,2,0.01,70.8,2,0.12,0.01,3.49
403636,fill0,3,0.01,70.9,2,0.12,0.01,3.49
403636,fill0,4,0.01,71.1,2,0.12,0.01,3.49
403636,fill0,5,0.01,71.9,2,0.12,0.01,3.49
403636,fill0,6,0.01,71.8,2,0.12,0.01,3.50
403636,fill0,7,0.01,58.5,2,0.13,0.02,3.49
403636,fill0,8,0.01,72.1,2,0.12,0.01,3.50
403636,fill0,9,0.01,72.0,2,0.12,0.01,3.49
403636,fill0,10,0.01,57.8,2,0.13,0.01,3.49
403636,fill0,11,0.01,70.1,2,0.12,0.01,3.50
403636,fill0,12,0.01,70.6,2,0.12,0.01,3.49
403636,fill0,13,0.01,71.1,2,0.11,0.01,3.50
403636,fill0,14,0.01,71.6,2,0.12,0.01,3.49
403636,fill0,15,0.01,71.8,2,0.12,0.01,3.49
403636,fill0,16,0.01,70.8,2,0.12,0.01,3.50
403636,fill1,0,0.01,62.7,2,0.00,0.12,3.49
403636,fill1,1,0.01,62.6,2,0.00,0.12,3.50
403636,fill1,2,0.01,61.8,2,0.00,0.12,3.47
403636,fill1,3,0.01,61.8,2,0.00,0.12,3.52
403636,fill1,4,0.01,63.1,2,0.00,0.12,3.49
403636,fill1,5,0.01,59.0,2,0.00,0.12,3.49
403636,fill1,6,0.01,64.5,2,0.00,0.12,3.50
403636,fill1,7,0.01,64.5,2,0.00,0.12,3.49
403636,fill1,8,0.01,62.6,2,0.00,0.12,3.50
403636,fill1,9,0.01,62.3,2,0.00,0.12,3.49
403636,fill1,10,0.01,60.3,2,0.00,0.12,3.49
403636,fill1,11,0.01,63.5,2,0.00,0.12,3.50
403636,fill1,12,0.01,60.5,2,0.00,0.12,3.49
403636,fill1,13,0.01,62.3,2,0.00,0.12,3.50
403636,fill1,14,0.01,62.1,2,0.00,0.12,3.49
403636,fill1,15,0.01,65.2,2,0.00,0.12,3.49
403636,fill1,16,0.01,64.4,2,0.00,0.12,3.50
403636,alt01,0,0.01,65.2,2,0.06,0.06,3.49
403636,alt01,1,0.01,64.4,2,0.06,0.06,3.50
403636,alt01,2,0.01,66.1,2,0.06,0.06,3.49
403636,alt01,3,0.01,67.2,2,0.06,0.06,3.50
403636,alt01,4,0.01,64.6,2,0.06,0.06,3.49
403636,alt01,5,0.01,66.0,2,0.06,0.06,3.49
403636,alt01,6,0.01,65.4,2,0.06,0.06,3.50
403636,alt01,7,0.01,63.6,2,0.06,0.06,3.49
403636,alt01,8,0.01,65.6,2,0.06,0.06,3.49
403636,alt01,9,0.01,66.9,2,0.06,0.06,3.49
403636,alt01,10,0.01,66.6,2,0.06,0.06,3.49
403636,alt01,11,0.01,67.8,2,0.06,0.06,3.50
403636,alt01,12,0.01,67.5,2,0.06,0.06,3.49
403636,alt01,13,0.01,63.9,2,0.06,0.06,3.49
403636,alt01,14,0.01,66.6,2,0.06,0.06,3.50
403636,alt01,15,0.01,64.6,2,0.06,0.06,3.49
403636,alt01,16,0.01,66.4,2,0.06,0.06,3.50
444000,fill0,0,0.01,68.7,2,0.16,0.01,3.50
444000,fill0,1,0.01,68.3,2,0.16,0.02,3.49
444000,fill0,2,0.01,69.0,2,0.16,0.02,3.49
444000,fill0,3,0.01,72.2,2,0.16,0.01,3.50
444000,fill0,4,0.01,70.5,2,0.17,0.01,3.49
444000,fill0,5,0.01,72.1,2,0.16,0.01,3.50
444000,fill0,6,0.01,70.5,2,0.16,0.01,3.49
444000,fill0,7,0.01,70.7,2,0.16,0.01,3.49
444000,fill0,8,0.01,68.7,2,0.16,0.01,3.50
444000,fill0,9,0.01,71.6,2,0.16,0.01,3.49
444000,fill0,10,0.01,69.8,2,0.17,0.01,3.49
444000,fill0,11,0.01,71.1,2,0.16,0.01,3.49
444000,fill0,12,0.01,71.4,2,0.16,0.01,3.49
444000,fill0,13,0.01,71.9,2,0.16,0.01,3.50
444000,fill0,14,0.01,69.7,2,0.16,0.01,3.49
444000,fill0,15,0.01,71.8,2,0.16,0.01,3.49
444000,fill0,16,0.01,66.0,2,0.16,0.01,3.49
444000,fill1,0,0.01,60.4,2,0.00,0.17,3.49
444000,fill1,1,0.01,61.1,2,0.00,0.17,3.50
444000,fill1,2,0.01,61.0,2,0.00,0.17,3.49
444000,fill1,3,0.01,61.7,2,0.00,0.17,3.50
444000,fill1,4,0.01,62.5,2,0.00,0.17,3.49
444000,fill1,5,0.01,62.5,2,0.00,0.17,3.50
444000,fill1,6,0.01,61.2,2,0.00,0.17,3.49
444000,fill1,7,0.01,61.0,2,0.00,0.17,3.47
444000,fill1,8,0.01,59.5,2,0.00,0.17,3.51
444000,fill1,9,0.01,61.5,2,0.00,0.17,3.49
444000,fill1,10,0.01,60.8,2,0.00,0.17,3.50
444000,fill1,11,0.01,61.6,2,0.00,0.17,3.49
444000,fill1,12,0.01,61.6,2,0.00,0.17,3.50
444000,fill1,13,0.01,61.9,2,0.00,0.17,3.49
444000,fill1,14,0.01,62.5,2,0.00,0.17,3.50
444000,fill1,15,0.01,58.4,2,0.00,0.17,3.49
444000,fill1,16,0.01,60.7,2,0.00,0.17,3.50
444000,alt01,0,0.01,66.2,2,0.09,0.09,3.50
444000,alt01,1,0.01,66.6,2,0.09,0.09,3.49
444000,alt01,2,0.01,66.8,2,0.09,0.09,3.50
444000,alt01,3,0.01,65.6,2,0.09,0.09,3.49
444000,alt01,4,0.01,65.8,2,0.09,0.09,3.49
444000,alt01,5,0.01,65.8,2,0.09,0.09,3.49
444000,alt01,6,0.01,65.7,2,0.09,0.09,3.49
444000,alt01,7,0.01,65.1,2,0.09,0.09,3.50
444000,alt01,8,0.01,66.0,2,0.09,0.09,3.49
444000,alt01,9,0.01,67.0,2,0.09,0.08,3.50
444000,alt01,10,0.01,66.7,2,0.09,0.09,3.49
444000,alt01,11,0.01,65.5,2,0.09,0.09,3.49
444000,alt01,12,0.01,66.5,2,0.09,0.09,3.49
444000,alt01,13,0.01,66.6,2,0.09,0.09,3.49
444000,alt01,14,0.01,59.6,2,0.09,0.09,3.50
444000,alt01,15,0.02,24.5,2,0.21,0.27,2.83
444000,alt01,16,0.01,65.2,2,0.10,0.10,3.49
488400,fill0,0,0.01,68.0,2,0.26,0.01,3.29
488400,fill0,1,0.01,67.8,2,0.26,0.01,3.29
488400,fill0,2,0.01,66.4,2,0.26,0.01,3.29
488400,fill0,3,0.01,68.3,2,0.26,0.01,3.30
488400,fill0,4,0.01,68.3,2,0.26,0.01,3.29
488400,fill0,5,0.01,62.3,2,0.26,0.02,3.29
488400,fill0,6,0.01,67.7,2,0.26,0.02,3.30
488400,fill0,7,0.01,65.4,2,0.26,0.02,3.29
488400,fill0,8,0.01,66.4,2,0.26,0.02,3.30
488400,fill0,9,0.01,67.2,2,0.26,0.01,3.29
488400,fill0,10,0.01,67.7,2,0.26,0.01,3.29
488400,fill0,11,0.01,67.1,2,0.26,0.01,3.29
488400,fill0,12,0.01,66.4,2,0.26,0.02,3.30
488400,fill0,13,0.01,57.3,2,0.27,0.02,3.29
488400,fill0,14,0.01,58.3,2,0.28,0.03,3.30
488400,fill0,15,0.01,56.3,2,0.30,0.03,3.29
488400,fill0,16,0.01,69.2,2,0.26,0.01,3.30
488400,fill1,0,0.02,30.3,2,0.00,0.27,1.90
488400,fill1,1,0.01,58.0,2,0.00,0.27,3.49
488400,fill1,2,0.01,59.2,2,0.00,0.27,3.50
488400,fill1,3,0.01,56.1,2,0.00,0.27,3.49
488400,fill1,4,0.01,58.3,2,0.00,0.27,3.49
488400,fill1,5,0.01,58.2,2,0.00,0.27,3.50
488400,fill1,6,0.01,58.9,2,0.00,0.27,3.49
488400,fill1,7,0.01,57.9,2,0.00,0.27,3.49
488400,fill1,8,0.01,58.4,2,0.00,0.27,3.49
488400,fill1,9,0.01,58.3,2,0.00,0.26,3.49
488400,fill1,10,0.01,56.6,2,0.00,0.27,3.49
488400,fill1,11,0.01,58.3,2,0.00,0.27,3.50
488400,fill1,12,0.01,57.0,2,0.00,0.27,3.48
488400,fill1,13,0.01,59.3,2,0.00,0.27,3.50
488400,fill1,14,0.01,57.8,2,0.00,0.27,3.48
488400,fill1,15,0.01,58.1,2,0.00,0.27,3.50
488400,fill1,16,0.01,59.2,2,0.00,0.26,3.49
488400,alt01,0,0.01,63.9,2,0.13,0.13,3.50
488400,alt01,1,0.01,63.9,2,0.14,0.14,3.49
488400,alt01,2,0.01,60.0,2,0.13,0.14,3.49
488400,alt01,3,0.01,63.2,2,0.13,0.14,3.49
488400,alt01,4,0.01,63.4,2,0.14,0.13,3.49
488400,alt01,5,0.01,61.7,2,0.13,0.14,3.49
488400,alt01,6,0.01,64.0,2,0.14,0.14,3.50
488400,alt01,7,0.01,63.5,2,0.14,0.13,3.49
488400,alt01,8,0.01,64.1,2,0.13,0.14,3.49
488400,alt01,9,0.01,63.3,2,0.14,0.13,3.49
488400,alt01,10,0.01,63.7,2,0.13,0.13,3.49
488400,alt01,11,0.01,63.9,2,0.14,0.13,3.49
488400,alt01,12,0.01,63.5,2,0.13,0.14,3.50
488400,alt01,13,0.01,62.1,2,0.14,0.14,3.49
488400,alt01,14,0.01,63.8,2,0.13,0.13,3.49
488400,alt01,15,0.01,63.9,2,0.13,0.13,3.49
488400,alt01,16,0.01,63.7,2,0.14,0.13,3.50
537240,fill0,0,0.01,67.0,2,0.38,0.02,3.50
537240,fill0,1,0.01,68.1,2,0.38,0.02,3.49
537240,fill0,2,0.01,68.8,2,0.38,0.02,3.50
537240,fill0,3,0.01,65.5,2,0.38,0.03,3.49
537240,fill0,4,0.01,68.2,2,0.37,0.03,3.50
537240,fill0,5,0.01,67.7,2,0.38,0.02,3.49
537240,fill0,6,0.01,68.6,2,0.38,0.02,3.50
537240,fill0,7,0.01,69.5,2,0.37,0.02,3.49
537240,fill0,8,0.01,67.3,2,0.38,0.02,3.50
537240,fill0,9,0.01,68.7,2,0.38,0.02,3.49
537240,fill0,10,0.01,67.7,2,0.38,0.03,3.50
537240,fill0,11,0.01,69.0,2,0.38,0.02,3.49
537240,fill0,12,0.01,68.3,2,0.37,0.02,3.50
537240,fill0,13,0.01,68.5,2,0.38,0.02,3.49
537240,fill0,14,0.01,67.8,2,0.37,0.02,3.49
537240,fill0,15,0.01,67.9,2,0.38,0.02,3.49
537240,fill0,16,0.01,67.5,2,0.38,0.02,3.49
537240,fill1,0,0.01,55.2,2,0.00,0.39,3.50
537240,fill1,1,0.01,54.8,2,0.00,0.40,3.49
537240,fill1,2,0.01,54.0,2,0.00,0.39,3.49
537240,fill1,3,0.01,52.8,2,0.00,0.40,3.50
537240,fill1,4,0.01,54.4,2,0.00,0.40,3.49
537240,fill1,5,0.01,54.9,2,0.00,0.40,3.49
537240,fill1,6,0.01,54.7,2,0.00,0.40,3.50
537240,fill1,7,0.01,54.6,2,0.01,0.40,3.49
537240,fill1,8,0.01,54.4,2,0.00,0.40,3.49
537240,fill1,9,0.01,54.8,2,0.00,0.40,3.49
537240,fill1,10,0.01,54.3,2,0.01,0.40,3.49
537240,fill1,11,0.01,54.2,2,0.01,0.40,3.50
537240,fill1,12,0.01,54.4,2,0.01,0.40,3.49
537240,fill1,13,0.01,54.5,2,0.00,0.40,3.49
537240,fill1,14,0.01,53.8,2,0.00,0.40,3.49
537240,fill1,15,0.01,55.0,2,0.00,0.40,3.49
537240,fill1,16,0.01,54.7,2,0.01,0.40,3.50
537240,alt01,0,0.01,59.9,2,0.20,0.20,3.49
537240,alt01,1,0.01,59.1,2,0.20,0.20,3.49
537240,alt01,2,0.01,60.1,2,0.20,0.20,3.50
537240,alt01,3,0.01,58.4,2,0.20,0.20,3.49
537240,alt01,4,0.01,60.2,2,0.20,0.20,3.50
537240,alt01,5,0.01,49.4,2,0.20,0.20,3.49
537240,alt01,6,0.01,61.4,2,0.21,0.20,3.49
537240,alt01,7,0.01,60.3,2,0.21,0.21,3.49
537240,alt01,8,0.01,61.1,2,0.21,0.20,3.49
537240,alt01,9,0.01,60.1,2,0.21,0.21,3.50
537240,alt01,10,0.01,61.7,2,0.21,0.20,3.49
537240,alt01,11,0.01,61.3,2,0.21,0.20,3.50
537240,alt01,12,0.01,61.2,2,0.21,0.20,3.49
537240,alt01,13,0.01,61.3,2,0.21,0.20,3.49
537240,alt01,14,0.01,61.8,2,0.21,0.20,3.49
537240,alt01,15,0.01,61.0,2,0.21,0.20,3.49
537240,alt01,16,0.01,60.3,2,0.21,0.20,3.49
590964,fill0,0,0.01,66.4,2,0.55,0.03,3.49
590964,fill0,1,0.01,66.4,2,0.54,0.03,3.50
590964,fill0,2,0.01,67.4,2,0.54,0.03,3.49
590964,fill0,3,0.01,67.7,2,0.54,0.03,3.49
590964,fill0,4,0.01,66.5,2,0.54,0.03,3.49
590964,fill0,5,0.01,67.4,2,0.54,0.03,3.49
590964,fill0,6,0.01,67.9,2,0.54,0.03,3.49
590964,fill0,7,0.01,67.8,2,0.54,0.03,3.49
590964,fill0,8,0.01,66.9,2,0.54,0.03,3.49
590964,fill0,9,0.01,67.6,2,0.54,0.03,3.49
590964,fill0,10,0.01,67.6,2,0.54,0.03,3.49
590964,fill0,11,0.01,67.3,2,0.54,0.03,3.49
590964,fill0,12,0.01,66.6,2,0.54,0.03,3.49
590964,fill0,13,0.01,65.4,2,0.53,0.04,3.49
590964,fill0,14,0.01,67.8,2,0.54,0.03,3.49
590964,fill0,15,0.01,67.6,2,0.54,0.03,3.49
590964,fill0,16,0.01,64.7,2,0.54,0.04,3.49
590964,fill1,0,0.01,50.5,2,0.00,0.56,3.49
590964,fill1,1,0.01,50.6,2,0.00,0.56,3.49
590964,fill1,2,0.01,51.1,2,0.00,0.56,3.49
590964,fill1,3,0.01,51.7,2,0.00,0.56,3.50
590964,fill1,4,0.01,51.4,2,0.00,0.56,3.49
590964,fill1,5,0.01,50.9,2,0.00,0.56,3.49
590964,fill1,6,0.01,50.6,2,0.00,0.56,3.49
590964,fill1,7,0.01,51.2,2,0.00,0.56,3.49
590964,fill1,8,0.01,51.4,2,0.00,0.56,3.49
590964,fill1,9,0.01,51.0,2,0.00,0.56,3.49
590964,fill1,10,0.01,51.2,2,0.00,0.56,3.49
590964,fill1,11,0.01,51.7,2,0.00,0.55,3.49
590964,fill1,12,0.01,51.3,2,0.00,0.56,3.49
590964,fill1,13,0.01,51.4,2,0.00,0.56,3.49
590964,fill1,14,0.01,51.3,2,0.00,0.56,3.50
590964,fill1,15,0.01,51.8,2,0.00,0.56,3.49
590964,fill1,16,0.01,50.9,2,0.00,0.56,3.49
590964,alt01,0,0.01,55.4,2,0.29,0.29,3.49
590964,alt01,1,0.01,56.3,2,0.29,0.28,3.49
590964,alt01,2,0.01,55.8,2,0.29,0.29,3.49
590964,alt01,3,0.01,56.4,2,0.29,0.28,3.49
590964,alt01,4,0.01,56.2,2,0.29,0.28,3.49
590964,alt01,5,0.01,56.1,2,0.29,0.28,3.49
590964,alt01,6,0.01,55.3,2,0.29,0.29,3.49
590964,alt01,7,0.01,55.8,2,0.29,0.28,3.49
590964,alt01,8,0.01,55.5,2,0.29,0.29,3.49
590964,alt01,9,0.01,56.2,2,0.29,0.29,3.49
590964,alt01,10,0.01,56.0,2,0.29,0.28,3.49
590964,alt01,11,0.01,55.6,2,0.29,0.28,3.49
590964,alt01,12,0.01,55.6,2,0.28,0.28,3.49
590964,alt01,13,0.01,46.4,2,0.32,0.31,3.49
590964,alt01,14,0.03,23.6,2,0.32,0.30,1.58
590964,alt01,15,0.01,52.5,2,0.29,0.29,3.29
590964,alt01,16,0.01,53.1,2,0.29,0.28,3.30
650060,fill0,0,0.01,64.9,2,0.66,0.03,3.49
650060,fill0,1,0.01,64.3,2,0.66,0.04,3.49
650060,fill0,2,0.01,64.8,2,0.67,0.03,3.49
650060,fill0,3,0.01,64.1,2,0.67,0.04,3.49
650060,fill0,4,0.01,64.6,2,0.67,0.04,3.49
650060,fill0,5,0.01,64.6,2,0.67,0.04,3.49
650060,fill0,6,0.01,64.3,2,0.67,0.04,3.49
650060,fill0,7,0.01,64.8,2,0.67,0.03,3.49
650060,fill0,8,0.01,63.8,2,0.66,0.04,3.49
650060,fill0,9,0.01,64.8,2,0.67,0.03,3.49
650060,fill0,10,0.01,64.8,2,0.67,0.03,3.50
650060,fill0,11,0.01,64.9,2,0.67,0.03,3.49
650060,fill0,12,0.01,65.0,2,0.67,0.03,3.49
650060,fill0,13,0.01,65.0,2,0.67,0.03,3.49
650060,fill0,14,0.01,64.8,2,0.67,0.03,3.49
650060,fill0,15,0.01,65.0,2,0.67,0.03,3.49
650060,fill0,16,0.01,65.0,2,0.67,0.03,3.49
650060,fill1,0,0.01,48.4,2,0.00,0.69,3.49
650060,fill1,1,0.01,47.7,2,0.00,0.69,3.49
650060,fill1,2,0.01,48.1,2,0.00,0.69,3.49
650060,fill1,3,0.01,48.7,2,0.00,0.69,3.49
650060,fill1,4,0.01,48.1,2,0.00,0.69,3.49
650060,fill1,5,0.01,48.1,2,0.00,0.69,3.49
650060,fill1,6,0.01,48.3,2,0.00,0.69,3.49
650060,fill1,7,0.01,48.4,2,0.01,0.69,3.49
650060,fill1,8,0.01,48.3,2,0.00,0.69,3.49
650060,fill1,9,0.01,48.5,2,0.00,0.69,3.49
650060,fill1,10,0.01,48.4,2,0.00,0.69,3.49
650060,fill1,11,0.01,48.1,2,0.00,0.69,3.49
650060,fill1,12,0.01,48.1,2,0.00,0.69,3.49
650060,fill1,13,0.01,48.6,2,0.00,0.69,3.49
650060,fill1,14,0.01,47.8,2,0.00,0.70,3.49
650060,fill1,15,0.01,48.4,2,0.00,0.69,3.49
650060,fill1,16,0.01,47.9,2,0.00,0.69,3.49
650060,alt01,0,0.01,52.6,2,0.35,0.35,3.49
650060,alt01,1,0.01,52.5,2,0.35,0.35,3.49
650060,alt01,2,0.01,52.7,2,0.35,0.35,3.49
650060,alt01,3,0.01,52.1,2,0.35,0.35,3.49
650060,alt01,4,0.01,52.4,2,0.35,0.35,3.49
650060,alt01,5,0.01,51.9,2,0.35,0.35,3.49
650060,alt01,6,0.01,52.7,2,0.35,0.35,3.49
650060,alt01,7,0.01,52.1,2,0.35,0.35,3.49
650060,alt01,8,0.01,52.6,2,0.35,0.35,3.49
650060,alt01,9,0.01,45.5,2,0.35,0.35,3.49
650060,alt01,10,0.01,52.4,2,0.36,0.35,3.49
650060,alt01,11,0.01,52.6,2,0.35,0.35,3.49
650060,alt01,12,0.01,52.1,2,0.35,0.35,3.49
650060,alt01,13,0.01,52.5,2,0.35,0.35,3.49
650060,alt01,14,0.01,52.1,2,0.35,0.35,3.49
650060,alt01,15,0.01,51.9,2,0.35,0.35,3.49
650060,alt01,16,0.01,52.7,2,0.35,0.35,3.49
715064,fill0,0,0.01,61.9,2,0.76,0.05,3.49
715064,fill0,1,0.01,62.7,2,0.76,0.04,3.49
715064,fill0,2,0.01,62.7,2,0.76,0.04,3.49
715064,fill0,3,0.01,62.9,2,0.76,0.04,3.49
715064,fill0,4,0.01,62.2,2,0.76,0.04,3.49
715064,fill0,5,0.01,63.3,2,0.76,0.04,3.49
715064,fill0,6,0.01,61.9,2,0.76,0.05,3.49
715064,fill0,7,0.01,62.2,2,0.76,0.05,3.49
715064,fill0,8,0.01,62.5,2,0.76,0.04,3.49
715064,fill0,9,0.01,63.4,2,0.76,0.04,3.49
715064,fill0,10,0.01,62.6,2,0.76,0.04,3.49
715064,fill0,11,0.01,62.6,2,0.76,0.05,3.49
715064,fill0,12,0.01,63.3,2,0.76,0.04,3.49
715064,fill0,13,0.01,62.4,2,0.76,0.04,3.49
715064,fill0,14,0.01,62.7,2,0.76,0.04,3.49
715064,fill0,15,0.01,63.3,2,0.76,0.04,3.49
715064,fill0,16,0.01,62.2,2,0.76,0.05,3.49
715064,fill1,0,0.02,46.1,2,0.00,0.79,3.49
715064,fill1,1,0.02,44.7,2,0.00,0.80,3.49
715064,fill1,2,0.02,46.0,2,0.00,0.80,3.49
715064,fill1,3,0.02,45.9,2,0.00,0.79,3.49
715064,fill1,4,0.02,45.8,2,0.00,0.79,3.49
